,X_train,y_train
0,中国古代神話故事翻訳挑戦第0弾八百匹虎東京を騒がす(0),中国古代神話故事翻訳挑戦第0弾八百匹虎東京を騒がす(0)
1,私も親切で砕けた人ですから何時までも何か悩みがあるとしたら私にご相談していただければとても嬉しいと思いますね,私も親切で砕けた人ですから何時までも何か悩みがあるとしたら私にご相談いただければとても嬉しいと思いますね
2,今大方クラシックギターを練習していて時エレクトリックギターを弾く,今大方クラシックギターを練習していて時エレクトリックギターを弾きます
3,一冊を読み切ったわけではないのでただ一部を読んでみただけで今回のエントリーはこの本についての感想文ではありません,一冊を読み切ったわけではないのでただ一部を読んでみただけで今回のエントリーはこの本についての感想文ではありません
4,拝んで恩人の王天亮を牢獄から出したあと尾を振り出し長官を0丈外にぶっ飛ばした,拝んで恩人の王天亮を牢獄から出したあと尾を振り出し長官を0丈外にぶっ飛ばしました
5,たとえばタバコを吸わないでくださいやタバコを吸わないようにしてくださいは全然違いますか,たとえばタバコを吸わないでくださいやタバコを吸わないようにしてくださいは全然違いますか
6,神様だけが知っている秘密♫あはははっははははははっははははkkkkkkkkkkkkkkkkkkkkkkkkkkkk,神様だけが知っている秘密♫あはははっははははははっははははkkkkkkkkkkkkkkkkkkkkkkkkkkkk
7,一瞬のうち大堂のあちこち裏表に屋上にも家の下にも虎で一杯になっていた,一瞬のうち大堂のあちこち裏表に屋上にも家の下にも虎で一杯になっていました
8,二人は慎重に進んでいくと奥に広がる不思議な景色が目に飛び込んできた,二人は慎重に進んでいくと奥に広がる不思議な景色が目に飛び込んできました
9,need help with grammar for my japanese paper! topic:日本の社会の反抗分子ヤンキー,need help with grammar for my japanese paper! topic:日本の社会の反抗分子ヤンキー
10,学校が休みだったから友達と遊ぶことができる,学校がお休みだったので友達と遊ぶことができました
11,日本の教育制度が批判的にけんさされて社会のえいきょうは日本人が受ける,日本の教育制度が批判的にけんさされて社会のえいきょうは日本人が受けます
12,親のような官職についてるのに民のために利益をもたらし害を排除することなく逆にこの地域に災いを来すばかりでお前は何の役に立つのか,親のような官職についてるのに民のために利益をもたらし害を排除することなく逆にこの地域に災いを来すばかりでお前は何の役に立つのか
13,すぐにカードの上限を超え限度額を引き上げた,すぐにカードの上限を超え限度額を引き上げました
14,0年からチッソ株式会社はたくさんのアセトアルデヒドを生成していた,0年からチッソ株式会社はたくさんのアセトアルデヒドを生成していました
15,もう一ヶ月もかけてずっと練習したのに自分が本当は馬鹿みたいで皆の前で恥をかきました,もう一ヶ月もかけてずっと練習したのに自分が本当は馬鹿みたいで皆の前で恥をかきました
16,abraham lincolnアブラハムリンカーンもアメリカの大統領になるためにさいさん失敗しました,abraham lincolnアブラハムリンカーンもアメリカの大統領になるためにさいさん失敗しました
17,学校で知識を詰め込む教育に学生は困っていていい成績の競争は大変だ,学校で知識を詰め込む教育に学生は困っていていい成績の競争は大変です
18,おはよう,おはようございます
19,というわけで中訳と原作をちょっと比較してみると中訳はたしかに村上春樹さんの書いたように書いてあるんですけどたぶん原作を忠実に再現するつもりだったかなと思いました,というわけで中訳と原作を少し比較してみると中訳はたしかに村上春樹さんの書いたように書いてあるんですけどたぶん原作を忠実に再現するつもりだったかなと思いました
20,漢字でかくことがはじめてですだから間違いなく誤記が有ります,漢字でかくことがはじめてですだから間違いなく誤記が有ります
21,それは花嫁のご両親にされた障害を克服しながら愛を証明するという意味です,それは花嫁のご両親にされた障害を克服しながら愛を証明するという意味です
22,実は私は両国の若者ともある程度自分の国の伝統文化をゆるがせにしていると思っています,実は私は両国の若者ともある程度自分の国の伝統文化をゆるがせにしていると思っています
23,今日は両国のリーダーがやっとコミュニケーションをとったそうです,今日は両国のリーダーがやっとコミュニケーションをとられたそうです
24,かわりにむしろは大丈夫ですか家でいろんなものを作っています,かわりにむしろは大丈夫ですか家でいろんなものを作っています
25,水俣病の生存者と生存者の家族の証言によると水俣病はとてもひどい病だったらしい,水俣病の生存者と生存者の家族の証言によると水俣病はとてもひどい病だったらしいです
26,国際に影響もよくないしたとえば万博はまだ上海で行われているのにこんなことを起こす必要がありますか,国際に影響もよくないしたとえば万博はまだ上海で行われているのにこんなことを起こす必要がありますか
27,お医者さんに会ったけど彼はあなたは元気ですがティーンエイジャーだからいつも眠いのですねと言いました,お医者さんにお会いしましたが彼はあなたは元気ですがティーンエイジャーだからいつも眠いのですねとおっしゃいました
28,両方とも同じく大切なのが誰でもわかっているのにひとつしか選べなかったらどうする,両方とも同じく大切なのが誰でもわかっているのにひとつしか選べなかったらどうしますか
29,皆もいやですからクラス委員として責任を取らなければなりませんでした,皆もいやですからクラス委員として責任を取らなければなりませんでした
30,あるアニメが全部わかるのはまだまだだめだけど毎日新しい単語を覚えてそして次の日にこの単語を偶然聞いて理解できるのはとても嬉しかった,あるアニメが全部わかるのはまだまだだめですが毎日新しい単語を覚えてそして次の日にこの単語を偶然聞いて理解できるのはとても嬉しかったです
31,"時アメリカの女は""あたしは優しいガイが欲しい""と言ってんだけどこれらの人はいつも""優しいガイ""を拒否するか無視します","時アメリカの女性は""私は優しいガイが欲しい""と言っていますが彼女らはいつも""優しいガイ""を拒否するか無視します"
32,たとえびんぼうな家族でも希望がありましたからついに本田宗一郎は有名なオートバイの会社のかんりしゃになりました,たとえびんぼうな家族でも希望がありましたからついに本田宗一郎は有名なオートバイの会社のかんりしゃになりました
33,日本語能力試験の日がだんだん近づくにつれて私は不安になっています,日本語能力試験の日がだんだん近づくにつれて私は不安になっています
34,モスクワで普通新婚夫婦は赤の広場に行って永遠の火に花を捧げています,モスクワで普通新婚夫婦は赤の広場に行って永遠の火に花を捧げています
35,赤ちゃんはたくさん転んで痛みをかんじましたがどうして歩くことを練習しつづけましたか,赤ちゃんはたくさん転んで痛みをかんじましたがどうして歩くことを練習しつづけましたか
36,初めは日本のアニメや漫画が自分でわかるようにするために日本語の勉強始めた,初めは日本のアニメや漫画が自分でわかるようにするために日本語の勉強始めました
37,0時から0じまで我はよく運動していたのでとても楽しかったです,0時から0じまで我はよく運動していたのでとても楽しかったです
38,けいたはゆううん動物園に行くことにした友達のたろうも一緒に行くって言った,けいたさんはゆううん動物園に行くことに決めましたお友達のたろうさんも一緒に行くとおっしゃいました
39,新最初の部首はいつも覚えられませんからや乗変で大きいと思いますや黄いつも書き方を忘れますとか好きじゃありません,新最初の部首はいつも覚えられませんからや乗変で大きいと思いますや黄いつも書き方を忘れますとか好きではありません
40,完成したら弟にコスチュームの写真を撮ってくれるように頼みます,完成したら弟にコスチュームの写真を撮ってくれるように頼みます
41,だから姉さんが私の姿を見るとお前姿を見えないほど太ったまるでボールみたいって言いました,だから姉さんが私の姿を見るとお前姿を見えないほど太ったまるでボールみたいって言いました
42,日本人の友達と話したいでもなかなかちょっと年上の人だけと話せる,日本人の友達と話したいでもなかなかちょっと年上の人だけと話せる
43,たとえばタバコを吸わないでくださいやタバコを吸わないようにしてくださいは全然違いますか,たとえばタバコを吸わないでくださいやタバコを吸わないようにしてくださいは全然違いますか
44,そして前の海外旅行は...演奏と親族訪問などだけです...単純に旅行したことは一回もありません,そして前の海外旅行は...演奏と親族訪問などだけです...単純に旅行したことは一回もありません
45,そして私の一番の夢はタイへ行ってタイ語で現地の人と交流することです,そして私の一番の夢はタイへ行ってタイ語で現地の人と交流することです
46,でも今晩突然昔の彼女からのメッセージが届いてびっくりしました,でも今晩突然昔の彼女からのメッセージが届いてびっくりしました
47,私の中に鮮明に刻まれたあなたは思い出さなくとも自然と頭の中に浮かんできます,私の中に鮮明に刻まれたあなたは思い出さなくとも自然と頭の中に浮かんできます
48,乗り物とアトラクションのほかに公園の中には多くのファストフードと土産店もあります,乗り物とアトラクションのほかに公園の中には多くのファストフードと土産店もあります
49,edisonエジソンはひゃっかいでもせんかいでも失敗しました,edisonエジソンはひゃっかいでもせんかいでも失敗しました
50,今日は私の誕生日ではなかったけれども北京から帰た友達と一緒に私の誕生日のためにパーティーをしていました,今日は私の誕生日ではなかったのですけれども北京から帰た友達と一緒に私の誕生日のためにパーティーをしていました
51,つまり両方とも根拠を持って相手の言った事を反論できないと思います,つまり両方とも根拠を持って相手の言った事を反論できないと思います
52,レイの零号機に乗ってどうすんのしか出てこなくて質問の内容を一切考えられなかった,レイの零号機に乗ってどうすんのしか出てこなくて質問の内容を一切考えられませんでした
53,日本人にとって何が面白いwith japanese what is funny ?,日本人にとって何が面白いwith japanese what is funny ?
54,メルボルン空港からクーランガッタ空港まで飛行機で行って車に乗ると東方に約一時間かかります,メルボルン空港からクーランガッタ空港まで飛行機で行って車に乗ると東方に約一時間かかります
55,初めは日本のアニメや漫画が自分でわかるようにするために日本語の勉強始めた,初めは日本のアニメや漫画が自分でわかるようにするために日本語の勉強始めました
56,あついな今日は海に行こうぜ,暑いですね今日は海に行きましょう
57,0時から0じまで我はよく運動していたのでとても楽しかったです,0時から0じまで我はよく運動していたのでとても楽しかったです
58,好きな食べ物は日本の料理です好きな飲み物はビールです台湾のビールはとてもうまいですよ,好きな食べ物は日本の料理です好きな飲み物はビールです台湾のビールはとても美味しいですよ
59,今の時代はとても寛容な時代なのでいろいろな文化が共存することができます,今の時代はとても寛容な時代なのでいろいろな文化が共存することができます
60,コメント・ウィジェットはエラーなしに閉じましたが追加コメントは表示されないしページ・リフレッシュ後にも変更なしでした,コメント・ウィジェットはエラーなしに閉じましたが追加コメントは表示されないしページ・リフレッシュ後にも変更なしでした
61,コメント・ウィジェットはエラーなしに閉じましたが追加コメントは表示されないしページ・リフレッシュ後にも変更なしでした,コメント・ウィジェットはエラーなしに閉じましたが追加コメントは表示されませんしページ・リフレッシュ後にも変更なしでした
62,数日前にも真夜中に現れたけど雲じゃないかなオーロラかなと迷うようなぼんやりした光だった,数日前の真夜中にも現れたが雲じゃないよねオーロラだよねと迷うようなぼんやりした光でした
63,十月の時点で万物は既に萎びている季節なのでどこに花があるだろう,十月の時点で万物は既に萎びている季節なのでどこに花があるのでしょう
64,人に聞いたら日本語が上手になるためにはいい辞書がなければならないと言われましたそれで僕はいい辞書を探しはじめました,人に聞いたら日本語が上手になるためにはいい辞書がなければならないと言われましたそれで僕はいい辞書を探しはじめました
65,先生は刘伯温からもらった紺の菊花を手に持ってみたところ花の色もいいし咲き遅れというもののやはり咲いたものなのでもしかしたら刘伯温が大器晩成となるのし上がるのが遅いという兆しかもしれない,先生は刘伯温からもらった紺の菊花を手に持ってみたところ花の色もいいし咲き遅れというもののやはり咲いたものなのでもしかしたら刘伯温が大器晩成となるのし上がるのが遅いという兆しかもしれません
66,帰ったあと兄はインターネットで買うのはどうだと言いました僕は一度もインターネットで買い物をした経験がないからすべてを兄に手伝ってもらいました,帰ったあと兄はインターネットで買うのはどうだと言いました僕は一度もインターネットで買い物をした経験がないのですべてを兄に手伝ってもらいました
67,天気は大変暑くなりましたが私は七月十二日からスロバキアに行って山に近いコテージに住んでいます,天気は大変暑くなりましたが私は七月十二日からスロバキアに行って山に近いコテージに住んでいます
68,生日快樂(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って彼女と古天樂さんが主役をする映画です,生日快樂(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って彼女と古天樂さんが主役をする映画です
69,他の東南アジア諸国は元中国軍に対して危機感をつのらせており近年の経済発展に伴う東南アジア全体の軍備増強は目覚しいものがあると聞いています,他の東南アジア諸国は元中国軍に対して危機感をつのらせており近年の経済発展に伴う東南アジア全体の軍備増強は目覚しいものがあると伺っております
70,まずは自分の国の伝統文化を大切にしてみたらいいのではないでしょうか,まずは自分の国の伝統文化を大切にしてみたらいいのではないでしょうか
71,こんなことをやってみました字幕の上に紙を張って真剣に聞くだけです,こんなことをやってみました字幕の上に紙を張って真剣に聞くだけです
72,この週末はアメリカにいる最後だから私の友達と家族と遊んでいるんですが時間が止まったようです,この週末はアメリカにいる最後だから私の友達と家族と遊んでいるんですが時間が止まったようです
73,妹は会社から無料のチケットをもらったから映画を見に行く時間を変えられなかったです,妹は会社から無料のチケットをもらったので映画を見に行く時間を変えられませんでした
74,那覇裁判所は日本の国内法で裁判したこういうやり方は適当なのかと考えています,那覇裁判所は日本の国内法で裁判したこういうやり方は適当なのかと考えています
75,生日快樂(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って彼女と古天樂さんが主役をする映画です,生日快樂(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って彼女と古天樂さんが主役をする映画です
76,日本人の友達と話したいでもなかなかちょっと年上の人だけと話せる,日本人の友達と話したいですでもなかなか少し年上の人だけと話せます
77,けれども若い人はせいげんのある社会に反抗するからべつの文化を作る,けれども若い人はせいげんのある社会に反抗するのでべつの文化を作ります
78,私は歩いていますよ赤ちゃんは話せませんでしたが私にそう言っているようでした,私は歩いていますよ赤ちゃんは話せませんでしたが私にそう言っているようでした
79,そのうえ晩ご飯は消化しにくい豆腐を食べましたが胃痛はありませんでした,そのうえ晩ご飯は消化しにくい豆腐を頂きましたが胃痛はありませんでした
80,みんながこの世の中に使命を負わなければならないと思っています,みんながこの世の中に使命を負わなければならないと思っています
81,現在両国の若者文化にはいろいろな共通点もありましたが自分の特色も持っています,現在両国の若者文化にはいろいろな共通点もありましたが自分の特色も持っています
82,太陽表面で大規模な爆発現象太陽フレアが発生したのを受け北海道でも空が赤く染まるなど世界各地でオーロラが観測された,太陽表面で大規模な爆発現象太陽フレアが発生したのを受け北海道でも空が赤く染まるなど世界各地でオーロラが観測されました
83,まず今回の事件は本当に偶然なのかまだ判断できないと思います,まず今回の事件は本当に偶然なのかまだ判断できないと思います
84,今日は私の誕生日ではなかったけれども北京から帰た友達と一緒に私の誕生日のためにパーティーをしていました,今日は私の誕生日ではなかったけれども北京から帰た友達と一緒に私の誕生日のためにパーティーをしていました
85,叔母はstratfordストラトフォードに住んでいますここから0キロです,叔母はstratfordストラトフォードに住んでいますここから0キロです
86,名前の発音はかたかなでよく書けます弟は写真をたくさん撮りたいと言いましたが洞の半分ぐらいの写真を撮った後でカメラが壊れてしまいました,名前の発音はかたかなでよく書けます弟は写真をたくさん撮りたいと言いましたが洞の半分ぐらいの写真を撮った後でカメラが壊れてしまいました
87,日本語を一人でべんきょうしているから鳥渡わるいかもしれないです,日本語を一人で勉強しているから鳥渡わるいかもしれないです
88,で日本語を中国語に翻訳する一番難しいところはなんだろうと聞かれたら私は断然センテンスの組み立て方がまったく違って改めて組まないといけない部分は困ると返事しています,それで日本語を中国語に翻訳する一番難しいところはなんだろうと聞かれたら私は断然センテンスの組み立て方がまったく違って改めて組まないといけない部分は困ると返事しています
89,だから今日はバイクを買っちゃいました格好よくない中古車ですけど,だから今日はバイクを買ってしまいました格好よくない中古車ですけど
90,ちなみに…明日の夜叔母の家にとまりに行ってきます待ちきれません☆,ちなみに…明日の夜叔母の家にとまりに行ってきます待ちきれません☆
91,それでコメントを書くことを試してみましたけどそれも不可能になったみたいです,それでコメントを書くことを試してみましたけどそれも不可能になったみたいです
92,僕の出身ではほとんどの和食のレストランのマネジャーは韓国人か中国人だと思う,僕の出身ではほとんどの和食のレストランのマネジャーは韓国人か中国人だと思います
93,クイーンズランド州にはゴールドコーストは一年中ほとんど暖かい天気なのでここに外国人がたくさん来て観光します,クイーンズランド州にはゴールドコーストは一年中ほとんど暖かい天気なのでここに外国人がたくさん来て観光します
94,そしてニンジンとキュウリとほうれん草と日本のマヨネーズもあります,そしてニンジンとキュウリとほうれん草と日本のマヨネーズもあります
95,もし年齢に関係なくみんなが使えるカバンが作れたら金持ちになるかもしれない,もし年齢に関係なくみんなが使えるカバンが作れたら金持ちになるかもしれません
96,そのうえ晩ご飯は消化しにくい豆腐を食べましたが胃痛はありませんでした,そのうえ晩ご飯は消化しにくい豆腐をいただきましたが胃痛はございませんでした
97,日本語より英語と中国語の言葉を排列する順番は似ているので英語が苦手なんですけど中高生のころだったんですが英語を中国語に訳すことがあまり厄介ではなかった気がしました,日本語より英語と中国語の言葉を排列する順番は似ているので英語が苦手なんですけど中高生のころだったんですが英語を中国語に訳すことがあまり厄介ではなかった気がしました
98,日本の教育制度の究極の目的は日本人は社会に入って社会人になる,日本の教育制度の究極の目的は日本人は社会に入って社会人になります
99,でもある時成功するために私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく気もよくいらいらする人になります,でもある時成功するために私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく気もよくいらいらする人になります
100,春節は一番大切なお祝い日だから皆はせめて春節の時に実家に帰って家族と一緒に過ごしたいです,春節は一番大切なお祝い日なので皆はせめて春節の時に実家に帰って家族と一緒に過ごしたいです
101,一番前に座っている学生が親切にこっそりその歌詞を教えてくれましたが全然うまく歌えませんでした,一番前に座っている学生が親切にこっそりその歌詞を教えてくれましたが全然うまく歌えませんでした
102,新最初の部首はいつも覚えられませんからや乗変で大きいと思いますや黄いつも書き方を忘れますとか好きじゃありません,新最初の部首はいつも覚えられませんのでや乗変で大きいと思いますや黄いつも書き方を忘れますとか好きではありません
103,でも最近日本の女の子の間でとても人気がある森ガールというスタイルは私もすごく気に入っていました,でも最近日本の女の子の間でとても人気がある森ガールというスタイルは私もとても気に入っていました
104,いま私はmikkomさんのコメントを借用して自分の考えを書きます,いま私はmikkomさんのコメントを借用しまして自分の考えを書きます
105,失敗なんか全然恥ずかしくない貴女よく頑張るわねと中学三年の国語担当の先生から言われました,失敗なんか全然恥ずかしくない貴女よく頑張るわねと中学三年の国語担当の先生がおっしゃいました
106,私にとっては結婚式を挙げるより新婚旅行する方がいいのではないでしょうか,私にとっては結婚式を挙げるより新婚旅行する方がいいのではないでしょうか
107,たろうは冒険が大好きでいつも新しい発見をするのが楽しみだった,太郎は冒険心が旺盛で新しい発見をすることが楽しみでした
108,"お菓子はおいしいです.だから私はお菓子が大好きです!毎日,私はお菓子を食べます!","お菓子はおいしいです.だから私はお菓子が大好きです!毎日,私はお菓子を食べます!"
109,釣魚台島のことは中国語でいえば公説公有理婆説婆有理です,釣魚台島のことは中国語でいえば公説公有理婆説婆有理です
110,たぶんどこかでtop secretとして封印されるかもしれません,たぶんどこかでtop secretとして封印されるかもしれません
111,おばあちゃんのせりふの半分以上わかんないというときは少なくなかったよ,祖母のせりふの半分以上わかんないというときは少なくなかったよ
112,東京部の最低賃金は0時間で0円だがアメリカは0時間で0ドルだ,東京部の最低賃金は0時間で0円ですがアメリカは0時間で0ドルです
113,そして僕の生まれ育ったところは田舎ですからそれに比べて東京の生活費はやばそうです,そして僕の生まれ育ったところは田舎ですからそれに比べて東京の生活費は高そうです
114,でも日本語の原作を見るうちにわからない言葉はあったんですけど中訳より理解できる気がしました,でも日本語の原作を見るうちにわからない言葉はあったのですけど中訳より理解できる気がしました
115,このようなことは屋上でタバコをすってもく制服を変えて時ちゅうと退学する,このようなことは屋上でタバコをすってもく制服を変えて時ちゅうと退学します
116,ところで一番聞き取りにくかったのがやっぱりおばあちゃんの言葉だった,ところで一番聞き取りにくかったのがやはり祖母の言葉でした
117,楽しい一日だったまた海に行こう,楽しい一日でしたまた海に行きましょう
118,それに対して日本でもインターネット上で流行している言葉を選ぶネット流行語大賞というものがありまして0年の金賞はそんな装備で大丈夫かという0dアクションゲームのセリフでした,それに対して日本でもインターネット上で流行している言葉を選ぶネット流行語大賞というものがありまして0年の金賞はそんな装備で大丈夫かという0dアクションゲームのセリフでした
119,だからエントリーを書いたらすぐlang0に置くことができないので日にちをエントリーに付けます,ですのでエントリーを書いたらすぐlang0に置くことができないので日にちをエントリーに付けます
120,残念ながら数年ほど前に最後の一匹は老齢のため亡くなりました,残念ながら数年ほど前に最後の一匹は老齢のため亡くなりました
121,だっていつも字幕を観てたしちょっとだけ聞き取った言葉に自信がなくても漢字から意味を探したりしてたもんで次回から字幕を隠そうと思ってる,なぜならいつも字幕を観てたし少しだけ聞き取った言葉に自信がなくても漢字から意味を探したりしていたもので次回から字幕を隠そうと思っています
122,それで祝えなくてプレゼントを司会者をつうじて渡した人もいました,それで祝えなくてプレゼントを司会者をつうじて渡した人もいらっしゃいました
123,palmspringsでは沢山のresortがあります,palmspringsでは沢山のresortがあります
124,小米さんは失うことを恐れるためむしろ始めることをしませんでした,小米さんは失うことを恐れるためむしろ始めることをしませんでした
125,そして0時くらいに喫茶店でレーシャルとジョノサンとベルに会いました,そして0時くらいに喫茶店でレーシャルとジョノサンとベルに会いました
126,そのとき受付の人からちなみに大島先生はしばらく日本に戻りましたので今日から二月まで授業が代講になりましたって言われました,そのとき受付の人からちなみに大島先生はしばらく日本に戻りましたので今日から二月まで授業が代講になりましたと言われました
127,ちょうどその時期班長さんは病気で学習委員の私がやらなければなりませんでした,ちょうどその時期班長さんは病気で学習委員の私がやらなければなりませんでした
128,文字通りに若者に支持されている文化的形態や活動だと私は理解しています,文字通りに若者に支持されている文化的形態や活動だと私は理解しています
129,ストーリーはまだわからないですけどドラマをリスタートしました,ストーリーはまだわからないですけどドラマをリスタートしました
130,でも友達はもしその理由で別れたら彼がかわいそうだと答えました,でも友達はもしその理由で別れたら彼がかわいそうだと答えました
131,王天亮は耳にさらさらと風の吹く音をさせながら疾風迅雷のような速さであっという間にうちに戻った,王天亮は耳にさらさらと風の吹く音をさせながら疾風迅雷のような速さであっという間にうちに戻りました
132,馬の名前はbissenpuntomayとcappiです,馬の名前はbissenpuntomayとcappiです
133,毎日新聞に漁船は先兵として日本に探察しに来るかもしれないと書いてあります,毎日新聞に漁船は先兵として日本に探察しに来るかもしれないと書いてあります
134,ぼうしゃにいたら森に行ったり川にいったりして過ごしたいです,ぼうしゃにいたら森に行ったり川にいったりして過ごしたいです
